CURSE_WORDS,Category
dog fuck,Sexual Anatomy/Sexual Acts
dog fucker,Sexual Anatomy/Sexual Acts
dog fucking,Sexual Anatomy/Sexual Acts
dog-fucker,Sexual Anatomy/Sexual Acts
dogs bollocks,Sexual Anatomy/Sexual Acts
doggo style,Sexual Anatomy/Sexual Acts
doggy style,Sexual Anatomy/Sexual Acts
doggy_style,Sexual Anatomy/Sexual Acts
dogie style,Sexual Anatomy/Sexual Acts
dogstyle,Sexual Anatomy/Sexual Acts
dong,Sexual Anatomy/Sexual Acts
double dick,Sexual Anatomy/Sexual Acts
double dicking,Sexual Anatomy/Sexual Acts
double pen,Sexual Anatomy/Sexual Acts
double-dong,Sexual Anatomy/Sexual Acts
dumasses,Sexual Anatomy/Sexual Acts
dumb fucker,Sexual Anatomy/Sexual Acts
dumb@ss,Sexual Anatomy/Sexual Acts
dumbarrassed,Sexual Anatomy/Sexual Acts
dumbass,Sexual Anatomy/Sexual Acts
dumbass fucker,Sexual Anatomy/Sexual Acts
dumbass mofoes,Sexual Anatomy/Sexual Acts
dumbass mothafuckers,Sexual Anatomy/Sexual Acts
dumbass son-of-a-bitch,Sexual Anatomy/Sexual Acts
dumbasses,Sexual Anatomy/Sexual Acts
dumbfucks,Sexual Anatomy/Sexual Acts
f_u_c_k,Sexual Anatomy/Sexual Acts
f'ed,Sexual Anatomy/Sexual Acts
f'er,Sexual Anatomy/Sexual Acts
f@ck,Sexual Anatomy/Sexual Acts
f@cker bunny,Sexual Anatomy/Sexual Acts
f@k,Sexual Anatomy/Sexual Acts
f0ck,Sexual Anatomy/Sexual Acts
f0cked,Sexual Anatomy/Sexual Acts
f0cker,Sexual Anatomy/Sexual Acts
f0ckers,Sexual Anatomy/Sexual Acts
face fuck,Sexual Anatomy/Sexual Acts
fack,Sexual Anatomy/Sexual Acts
fackuhs,Sexual Anatomy/Sexual Acts
fart-fucker,Sexual Anatomy/Sexual Acts
fatass,Sexual Anatomy/Sexual Acts
fatasses,Sexual Anatomy/Sexual Acts
fccuker,Sexual Anatomy/Sexual Acts
fck,Sexual Anatomy/Sexual Acts
fck you,Sexual Anatomy/Sexual Acts
fcka,Sexual Anatomy/Sexual Acts
fckahz,Sexual Anatomy/Sexual Acts
fcked,Sexual Anatomy/Sexual Acts
fckedup,Sexual Anatomy/Sexual Acts
fcker,Sexual Anatomy/Sexual Acts
fckin,Sexual Anatomy/Sexual Acts
fcking,Sexual Anatomy/Sexual Acts
Fckk,Sexual Anatomy/Sexual Acts
fckked,Sexual Anatomy/Sexual Acts
fckking,Sexual Anatomy/Sexual Acts
fcks,Sexual Anatomy/Sexual Acts
fckyeah,Sexual Anatomy/Sexual Acts
fcuk,Sexual Anatomy/Sexual Acts
fcuked,Sexual Anatomy/Sexual Acts
fcuker,Sexual Anatomy/Sexual Acts
fcukers,Sexual Anatomy/Sexual Acts
fcuking,Sexual Anatomy/Sexual Acts
fcukker,Sexual Anatomy/Sexual Acts
fcuks,Sexual Anatomy/Sexual Acts
fcvking,Sexual Anatomy/Sexual Acts
feck,Sexual Anatomy/Sexual Acts
feck arse,Sexual Anatomy/Sexual Acts
fecker,Sexual Anatomy/Sexual Acts
fellatio aficionado,Sexual Anatomy/Sexual Acts
fellator,Sexual Anatomy/Sexual Acts
fick,Sexual Anatomy/Sexual Acts
finger,Sexual Anatomy/Sexual Acts
